Codigo;Empresa;Classes;Codigo_Yahoo;Indice_Bovespa;Tipo_Ativo
A1LK34;ALASKA AIR GROUP INC;;;;BDR
A1LB34;ALBEMARLE CORP;;;;BDR
A1RE34;ALEXANDRIA REAL ESTATE EQUITIES INC;;;;BDR
A1LX34;ALEXION PHAR;;;;BDR
BABA34;ALIBABAGR;;;;BDR
A1LG34;ALIGN TECHNOLOGY INC;;;;BDR
A1GN34;ALLEGION PLC;;;;BDR
A1LL34;ALLIANCE DATA SYSTEMS CORP;;;;BDR
A1EN34;ALLIANT ENERGY CORP;;;;BDR
A1TT34;ALLSTATE CORP;;;;BDR
A1LN34;ALNYLAM PHARMACEUTICALS INC;;;;BDR
GOGL34;ALPHABET;;;;BDR
GOGL35;ALPHABET;;;;BDR
A1YX34;ALTERYX INC;;;;BDR
MOOO34;ALTRIA GROUP;;;;BDR
A2MC34;AMC;;;;BDR
A1CR34;AMCOR PLC;;;;BDR
A1EE34;AMEREN CORP;;;;BDR
A1MX34;AMÉRICA MÓVIL SAB DE CV;;;;BDR
AALL34;AMERICAN AIR;;;;BDR
A1EP34;AMERICAN ELE;;;;BDR
T1OW34;AMERICAN TOWER CORP;;;;BDR
A1WK34;AMERICAN WATER WORKS CO INC;;;;BDR
A1MP34;AMERIPRISE FINANCIAL INC;;;;BDR
A1MB34;AMERISOURCEBERGEN CORP;;;;BDR
A1ME34;AMETEK INC;;;;BDR
AMGN34;AMGEN;;;;BDR
A1PH34;AMPHENOL CORP;;;;BDR
A1DI34;ANALOG DEVIC;;;;BDR
A1UA34;ANGLOGOLD ASHANTI LTD;;;;BDR
A1NS34;ANSYS INC;;;;BDR
A1NT34;ANTHEM INC;;;;BDR
A1OS34;AO SMITH COR;;;;BDR
A1ON34;AON PLC;;;;BDR
A1PA34;APACHE CORP;;;;BDR
A1IV34;APARTMENT INVESTMENT & MANAGEMENT CO;;;;BDR
AAPL34;APPLE;;;;BDR
A1MT34;APPLIED MATE;;;;BDR
APTV34;APTIV PLC;;;;BDR
ARMT34;ARCELOR;;;;BDR
A1DM34;ARCHER DANIE;;;;BDR
A1RG34;ARGENX SE;;;;BDR
A1NE34;ARISTA NETWORKS INC;;;;BDR
AWII34;ARMSTRONG;;;;BDR
A1JG34;ARTHUR J GALLAGHER & CO;;;;BDR
A1SN34;ASCENDIS PHARMA A/S;;;;BDR
ASML34;ASML HOLD;;;;BDR
A1SU34;ASSURANT INC;;;;BDR
A1ZN34;ASTRAZENECA PLC;;;;BDR
T1AM34;ATLASSIAN CORPORATION PLC;;;;BDR
A1TM34;ATMOS ENERGY CORP;;;;BDR
A1UT34;AUTODESK INC;;;;BDR
A1TH34;AUTOHOME INC;;;;BDR
ADPR34;AUTOMATIC DT;;;;BDR
AZOI34;AUTOZONE INC;;;;BDR
A2VL34;AVALARA;;;;BDR
A1VB34;AVALONBAY COMMUNITIES INC;;;;BDR
A1VY34;AVERY DENNISON CORP;;;;BDR
BIDU34;BAIDU INC;;;;BDR
B1KR34;BAKER HUGHES;;;;BDR
B1LL34;BALL CORP;;;;BDR
B1SA34;BANCO SANTANDER CHILE;;;;BDR
BOAC34;BANK AMERICA;;;;BDR
B1CS34;BARCLAYS PLC;;;;BDR
B1AX34;BAXTER INTERNATIONAL INC;;;;BDR
B1BT34;BBT CORP;;;;BDR
B1DX34;BECTON DICKINSON AND CO;;;;BDR
B1GN34;BEIGENE LTD;;;;BDR
BBYY34;BEST BUY;;;;BDR
BHPG34;BHP GROUP;;;;BDR
B1BL34;BHP GROUP PLC;;;;BDR
BILB34;BILBAOVIZ;;;;BDR
B1IL34;BILIBILI INC;;;;BDR
B2HI34;BILL.COM;;;;BDR
BIIB34;BIOGEN;;;;BDR
B1MR34;BIOMARIN PHARMACEUTICAL INC;;;;BDR
B1NT34;BIONTECH SE;;;;BDR
T1CH34;BIO-TECHNE CORPORATION;;;;BDR
BLAK34;BLACKROCK;;;;BDR
BKNG34;BOOKING ;;;;BDR
B1WA34;BORGWARNER INC;;;;BDR
BOXP34;BOSTON PROP;;;;BDR
B1SX34;BOSTON SCIEN;;;;BDR
B1PP34;BP PLC;;;;BDR
B1TI34;BRITISH AMERICAN TOBACCO PLC;;;;BDR
AVGO34;BROADCOM INC;;;;BDR
B1RF34;BROADRIDGE FINANCIAL SOLUTIONS INC;;;;BDR
B1AM34;BROOKFIELD ASSET MANAGEMENT INC;;;;BDR
B1FC34;BROWN FORMAN CORP;;;;BDR
B2MB34;BUMBLE;;;;BDR
C1AB34;CABLE ONE INC;;;;BDR
C1OG34;CABOT OIL ;;;;BDR
C1DN34;CADENCE DESIGN SYSTEMS INC;;;;BDR
C1PB34;CAMPBELL SOUP CO;;;;BDR
C2PT34;CAMDEN PROPERTY;;;;BDR
CNIC34;CANAD NATION;;;;BDR
CPRL34;CANAD PACIFI;;;;BDR
CAJI34;CANON INC;;;;BDR
CAON34;CAPITAL ONE;;;;BDR
CAPH34;CAPRI HOLDI;;;;BDR
C1AH34;CARDINAL HEA;;;;BDR
K1MX34;CARMAX INC;;;;BDR
C1CL34;CARNIVAL COR;;;;BDR
C1RR34;CARRIER GLOBAL CORPORATION;;;;BDR
CRIN34;CARTER’S INC;;;;BDR
C1BO34;CBOE GLOBAL MARKETS INC;;;;BDR
C1BR34;CBRE GROUP INC;;;;BDR
C1BS34;CBS CORP – VIACOMCBS;;;;BDR
C1DW34;CDW CORPORATION;;;;BDR
C1NS34;CELANESE CORP;;;;BDR
C1NC34;CENTENE CORP;;;;BDR
C1NP34;CENTERPOINT ;;;;BDR
C1ER34;CERNER CORP;;;;BDR
C1FI34;CF INDUSTRIE;;;;BDR
C1HR34;CH ROBINSON WORLDWIDE INC;;;;BDR
CHCM34;CHARTER COMM;;;;BDR
C1HK34;CHECK POINT SOFTWARE TECHNOLOGIES LTD;;;;BDR
